Name;Specie;Class;Habitat;Biome;Diet;State_of_conservation;Significance;Significant
Giant_panda;Ailuropoda_melanoleuca;Mammalia;Mountains_central_China;Decidious_temperate_forest;Herbivorous;Vulnerable;***;Yes
Aldabra_giant_tortoise;Aldabrachelys_gigantea;Reptilia;Aldabra_island;Coral_reef_island;Herbivorous;Vulnerable;*;Yes
Spanish_pupfish;Aphanius_iberus;Actinopterygii;Spanish_mouths_Mediterranean_Sea;Mediterranean_Sea;Omnivorous;Endangered;n.s.;No
Gaur;Bos_gaurus;Mammalia;South_Southeast_Asia;Tropical_forest,subtropical_forest;Herbivorous;Vulnerable;n.s.;No
Sika_deer;Cervus_nippon;Mammalia;East_Asia;Forest,grassland,wetland;Herbivorous;Least_concern;**;Yes
Green_sea_turtle;Chelonia_mydas;Reptilia;Shallow_coastal_wathers;Tropical_sea,subtropical_sea;Herbivorous;Endangered;n.s.;No
Père_David's_deer;Elaphurus_davidianus;Mammalia;Central_Eastern_China;Wetland;Herbivorous;Extint_in_the_wild;n.s.;No
Kiang;Equus_kiang;Mammalia;Tibetan_plateau;Alpine_meadow,steppe,desert;Herbivorous;Least_concern;***;Yes
Western_gorilla;Gorilla_gorilla;Mammalia;Western_Africa;Tropical_forest;Herbivorous;Critically_endangered;***;Yes
Southern_hairy-nosed_wombat;Lasiorhinus_latifrons;Mammalia;Southern_Australia;Arid_steppe,woodland;Herbivorous;Near_threatened;n.s.;No
Himalayan_musk_deer;Moschus_chrysogaster;Mammalia;Himmalaya;Mountain_forest;Herbivorous;***;Yes
Giant_anteater;Myrmecophaga_tridactyla;Mammalia;Central_South_America;Tropical_forest,subtropical_forest,savanna,steppe;Carnivorous;Vulnerable;n.s.;No
Olive_baboon;Papio_anubis;Mammalia;Sub-Saharan_Africa;Forest,savanna,steppe;Omnivorous;Least_concern;n.s.;No
Tiger;Panthera_tigris;Mammalia;Asia;Tropical_forest,decidious_temperate_forest,grassland,wetland;Carnivorous;Endangered;**;Yes
Common_chimpanzee;Pan_troglodytes;Mammalia;Central_Western_Africa;Tropical_forest;Omnivorous;Endangered;n.s.;No
White-footed_mouse;Peromyscus_leucopus;Mammalia;Central_Eastern_North_America;Forest,grassland,agricultural_area,urban_area;Omnivorous;Least_concern;n.s.;No
Deer_mouse;Peromyscus_maniculatus;Mammalia;North_America;Forest,grassland,agricultural_area;Omnivorous;Least_concern;***;Yes
Douc_langur;Pygathrix_nemaeus;Mammalia;Southeast_Asia;Tropical_forest,subtropical_forest;Herbivorous;Endangered;n.s.;No
Dybowskii's_frog;Rana_dybowskii;Amphibia;Amur_river;Wetland;Carnivorous;Least_concern;n.s.;No
Black_snub-nosed_monkey;Rhinopitecus_brelichi;Mammalia;Mountains_Southeast_China;Temperate_forest,mountain_forest;Herbivorous;Endangered;n.s.;No
Tasmanian_devil;Sarcophilus_harrisii;Mammalia;Tasmania_island;Temperate_forest,grassland;Carnivorous;Endangered;*;Yes
Crocodile_lizard;Shinisaurus_crocodilurus;Reptilia;China_Vietnam;Tropical_forest,subtropical_forest,mountain_forest;Carnivorous;Endangered;n.s.;No
Bottlenose_dolphin;Tursiops_truncatus;Mammalia;Wide_range_in_ocean;Tropical_sea,temperate_sea;Carnivorous;Least_concern;**;Yes
Spanish_killifish;Valencia_hispanica;Actinopterygii;Spanish_mouths_Mediterranean_Sea;Mediterranean_Sea;Carnivorous;Critically_endangered;n.s.;No
